"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","UPSIDE ","BUST ","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"493",12,"Drew Sample",CIN,"TE80","6","-","-","3 out of 5 stars","-","-0.2","25% (4/16)"
"494",12,"Josh Cuevas",BAL,"TE81","13","-","-","4 out of 5 stars","-","-","-"
"495",12,"Tyler Conklin",DET,"TE82","6","-","-","3 out of 5 stars","-","-1.4","23% (3/13)"
"496",12,"Chris Blair",ATL,"WR165","11","-","-","3 out of 5 stars","-","-","-"
"497",12,"Durham Smythe",BAL,"TE83","13","-","-","4 out of 5 stars","-","-","-"
"498",12,"DeAndre Hopkins",BAL,"WR166","13","-","-","4 out of 5 stars","-","-0.5","31% (5/16)"
"499",12,"Tyrod Taylor",GB,"QB49","11","-","-","4 out of 5 stars","-","-0.3","30% (4/13)"
"500",12,"Miles Sanders",FA,"RB139","-","-","-","-","-","-","-"
"501",12,"Moliki Matavao",NO,"TE84","8","-","-","2 out of 5 stars","-","-","-"
"502",12,"Dominic Zvada",NYG,"K32","8","-","-","2 out of 5 stars","-","-","-"
"503",12,"Will Dissly",FA,"TE85","-","-","-","-","-","-0.7","25% (2/8)"
"504",12,"Drew Stevens",WAS,"K33","7","-","-","5 out of 5 stars","-","-","-"
"505",12,"Jake Moody",BAL,"K34","13","-","-","3 out of 5 stars","-","+2.9","62% (5/8)"
"506",12,"Kaden Wetjen",PIT,"WR167","9","-","-","3 out of 5 stars","-","-","-"
"507",12,"Kene Nwangwu",NYJ,"RB140","13","-","-","3 out of 5 stars","-","-","-"
"508",12,"Brittain Brown",CHI,"RB141","10","-","-","2 out of 5 stars","-","-","-"
"509",12,"Nathan Carter",KC,"RB142","5","-","-","3 out of 5 stars","-","-","-"
"510",12,"Mitch Tinsley",HOU,"WR168","8","-","-","3 out of 5 stars","-","-","-"
"511",12,"Xavier Smith",LAR,"WR169","11","-","-","1 out of 5 stars","-","+0.9","40% (4/10)"
"512",12,"Zamir White",NO,"RB143","8","-","-","3 out of 5 stars","-","-1.2","0% (0/5)"
"513",12,"Travis Homer",PIT,"RB144","9","-","-","2 out of 5 stars","-","-","-"
"514",12,"Tyler Lockett",LV,"WR170","13","-","-","2 out of 5 stars","-","-0.5","37% (6/16)"
"515",12,"Ben Sims",MIA,"TE86","6","-","-","5 out of 5 stars","-","-","-"
"516",12,"Brycen Tremayne",CAR,"WR171","5","-","-","2 out of 5 stars","-","-","-"
"517",13,"KeAndre Lambert-Smith",LAC,"WR172","7","-","-","2 out of 5 stars","-","-0.2","22% (2/9)"
"518",13,"Donovan Edwards",FA,"RB145","-","-","-","-","-","-","-"
"519",13,"Jalen Brooks",ARI,"WR173","14","-","-","2 out of 5 stars","-","-","-"
"520",13,"Efton Chism III",NE,"WR174","11","-","-","2 out of 5 stars","-","-","-"
"521",13,"Craig Reynolds",WAS,"RB146","7","-","-","4 out of 5 stars","-","-","-"
"522",13,"Xavier Restrepo",TEN,"WR175","9","-","-","3 out of 5 stars","-","-","-"
"523",13,"Drake Dabney",GB,"TE87","11","-","-","2 out of 5 stars","-","-","-"
"524",13,"Tom Kennedy",DET,"WR176","6","-","-","4 out of 5 stars","-","-","-"
"525",13,"Tay Martin",DET,"WR177","6","-","-","4 out of 5 stars","-","-","-"
"526",13,"Jake Bobo",SEA,"WR178","11","-","-","3 out of 5 stars","-","-","-"
"527",13,"Michael Trigg",DAL,"TE88","14","-","-","2 out of 5 stars","-","-","-"
"528",13,"Noah Brown",FA,"WR179","-","-","-","-","-","-","-"
"529",13,"Jalen Milroe",SEA,"QB50","11","-","-","4 out of 5 stars","-","-1.8","0% (0/3)"
"530",13,"Kaleb Jackson",FA,"RB147","-","-","-","-","-","-","-"
